Date,Claims,s1,s2,s3
1943-10-02,20,9,10,12
1943-10-04,56,12,10,16
1943-10-08,179,23,28,20
1943-10-09,122,10,10,10
1943-10-10,202,12,26,25
1943-10-14,199,35,27,39
1943-11-05,45,17,16,18
1943-11-13,60,11,19,14
1943-11-26,60,26,22,37
1943-11-29,30,29,33,27
1943-12-20,40,14,10,27
1943-12-22,37,23,12,24
1944-01-04,12,12,12,12
1944-01-05,128,31,11,31
1944-01-11,259,48,21,45
1944-01-30,96,59,30,47
1944-02-10,98,49,30,46
1944-02-11,35,18,12,24
1944-02-20,126,54,28,58
1944-02-21,52,29,11,32
1944-02-22,93,42,11,52
1944-02-24,121,60,26,51
1944-02-25,49,44,5,41
1944-03-03,11,15,4,14
1944-03-04,15,20,4,18
1944-03-06,179,63,18,62
1944-03-08,150,47,21,55
1944-03-09,1,0,0,1
1944-03-18,84,25,12,36
1944-03-23,55,27,11,27
1944-03-29,65,33,12,34
1944-04-08,195,65,36,73
1944-04-09,84,28,13,21
1944-04-11,189,36,19,52
1944-04-15,58,12,11,23
1944-04-19,17,—,10,29
1944-04-22,60,,17,19
1944-04-24,144,,32,56
1944-04-29,95,,11,30
1944-05-08,131,,43,44
1944-05-12,66,,34,70
1944-05-13,58,—,16,29
1944-05-19,77,—,42,60
1944-05-24,33,,40,41
1944-05-27,44,_,16,31
1944-05-28,64,,50,37
1944-05-29,117,—,152,51
1944-05-30,65,—,95,53
